epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2394.14,0,5.86166,0,0,0,0,0,0,0.00175,0,0.000665248,0.000665248,0.000665248
2,4592.84,0,0.00034,0,0,0,0,0,0,0,0,0.00128796,0.00128796,0.00128796
